2026-02-11 01:14:34,675 | INFO    | MainThread   | Starting Booklet server — outputs: /media/joshspc/YUGE/Booklet/outputs, presets: /media/joshspc/YUGE/Booklet/speaker_presets
2026-02-11 01:14:36,387 | INFO    | MainThread   | Starting Booklet server — outputs: /media/joshspc/YUGE/Booklet/outputs, presets: /media/joshspc/YUGE/Booklet/speaker_presets
2026-02-11 01:14:41,914 | INFO    | MainThread   | Starting Booklet server — outputs: /media/joshspc/YUGE/Booklet/outputs, presets: /media/joshspc/YUGE/Booklet/speaker_presets
2026-02-11 01:27:02,498 | INFO    | MainThread   | Starting Booklet server — outputs: /media/joshspc/YUGE/Booklet/outputs, presets: /media/joshspc/YUGE/Booklet/speaker_presets
2026-02-11 01:27:02,576 | INFO    | MainThread   | Will watch for changes in these directories: ['/media/joshspc/YUGE/Booklet']
2026-02-11 01:27:02,577 | INFO    | MainThread   | Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-02-11 01:27:02,577 | INFO    | MainThread   | Started reloader process [331741] using WatchFiles
2026-02-11 01:27:03,137 | INFO    | MainThread   | 13 changes detected
2026-02-11 01:27:03,489 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:03,839 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:04,149 | INFO    | MainThread   | Starting Booklet server — outputs: /media/joshspc/YUGE/Booklet/outputs, presets: /media/joshspc/YUGE/Booklet/speaker_presets
2026-02-11 01:27:04,160 | INFO    | MainThread   | Started server process [331793]
2026-02-11 01:27:04,161 | INFO    | MainThread   | Waiting for application startup.
2026-02-11 01:27:04,161 | INFO    | MainThread   | Application startup complete.
2026-02-11 01:27:04,190 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:04,540 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:04,890 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:05,241 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:05,591 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:05,942 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:06,292 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:06,642 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:06,993 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:07,343 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:07,694 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:08,044 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:08,395 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:08,745 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:09,095 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:09,446 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:09,796 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:10,147 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:10,497 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:10,848 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:11,198 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:11,548 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:11,899 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:12,249 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:12,600 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:12,800 | ERROR   | AnyIO worker thread | Frontend file not found: /media/joshspc/YUGE/Booklet/frontend/index.html
2026-02-11 01:27:12,950 | INFO    | MainThread   | 5 changes detected
2026-02-11 01:27:13,301 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:13,651 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:14,001 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:14,352 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:14,702 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:15,053 | INFO    | MainThread   | 1 change detected
2026-02-11 01:27:15,403 | INFO    | MainThread   | 1 change detected
